URL,Type,"Blog Category","Translation Source"
/content/fireeye-www/de_DE/blog/de-threat-research/2020/02/mtrends-2020-insights-from-the-front-lines.html,blog,"threat research",/2020/02/mtrends-2020-insights-from-the-front-lines.html
/content/fireeye-www/de_DE/blog/de-threat-research/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html,blog,"threat research",/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html
/content/fireeye-www/de_DE/blog/de-threat-research/2020/02/ransomware-against-machine-learning-to-disrupt-industrial-production.html,blog,"threat research",/2020/02/ransomware-against-machine-learning-to-disrupt-industrial-production.html
/content/fireeye-www/de_DE/blog/de-threat-research/2020/10/ransomware-protection-and-containment-strategies.html,blog,"threat research",/2019/09/ransomware-protection-and-containment-strategies.html
/content/fireeye-www/de_DE/blog/de-threat-research/2021/02/accellion-fta-exploited-for-data-theft-and-extortion.html,blog,"threat research",/2021/02/accellion-fta-exploited-for-data-theft-and-extortion.html
/content/fireeye-www/de_DE/blog/de-threat-research/2021/03/detection-response-to-exploitation-of-microsoft-exchange-zero-day-vulnerabilities.html,blog,"threat research",/2021/03/detection-response-to-exploitation-of-microsoft-exchange-zero-day-vulnerabilities.html
/content/fireeye-www/de_DE/blog/de-threat-research/2021/05/increasing-low-sophistication-operational-technology-compromises.html,blog,"threat research",/2021/05/increasing-low-sophistication-operational-technology-compromises.html
/content/fireeye-www/fr_FR/blog/fr-threat-research/2020/02/mtrends-2020-insights-from-the-front-lines.html,blog,"threat research",/2020/02/mtrends-2020-insights-from-the-front-lines.html
/content/fireeye-www/fr_FR/blog/fr-threat-research/2020/02/ransomware-against-machine-learning-to-disrupt-industrial-production.html,blog,"threat research",/2020/02/ransomware-against-machine-learning-to-disrupt-industrial-production.html
/content/fireeye-www/fr_FR/blog/fr-threat-research/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html,blog,"threat research",/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html
/content/fireeye-www/fr_FR/blog/fr-threat-research/2020/05/tactics-techniques-procedures-associated-with-maze-ransomware-incidents.html,blog,"threat research",/2020/05/tactics-techniques-procedures-associated-with-maze-ransomware-incidents.html
/content/fireeye-www/fr_FR/blog/fr-threat-research/2021/02/accellion-fta-exploited-for-data-theft-and-extortion.html,blog,"threat research",/2021/02/accellion-fta-exploited-for-data-theft-and-extortion.html
/content/fireeye-www/fr_FR/blog/fr-threat-research/2021/03/detection-response-to-exploitation-of-microsoft-exchange-zero-day-vulnerabilities.html,blog,"threat research",/2021/03/detection-response-to-exploitation-of-microsoft-exchange-zero-day-vulnerabilities.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/01/saigon-mysterious-ursnif-fork.html,blog,"threat research",/2020/01/saigon-mysterious-ursnif-fork.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/01/vigilante-deploying-mitigation-for-citrix-netscaler-vulnerability-while-maintaining-backdoor.html,blog,"threat research",/2020/01/vigilante-deploying-mitigation-for-citrix-netscaler-vulnerability-while-maintaining-backdoor.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/01/nice-try-501-ransomware-not-implemented.html,blog,"threat research",/2020/01/nice-try-501-ransomware-not-implemented.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/01/abusing-dll-misconfigurations.html,blog,"threat research",/2020/01/abusing-dll-misconfigurations.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html,blog,"threat research",/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/02/managed-defense-the-analytical-mindset.html,blog,"threat research",/2020/02/managed-defense-the-analytical-mindset.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/02/mtrends-2020-insights-from-the-front-lines.html,blog,"threat research",/2020/02/mtrends-2020-insights-from-the-front-lines.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/03/apt41-initiates-global-intrusion-campaign-using-multiple-exploits.html,blog,"threat research",/2020/03/apt41-initiates-global-intrusion-campaign-using-multiple-exploits.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/03/they-come-in-the-night-ransomware-deployment-trends.html,blog,"threat research",/2020/03/they-come-in-the-night-ransomware-deployment-trends.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/03/the-cycle-of-adversary-pursuit.html,blog,"threat research",/2020/03/the-cycle-of-adversary-pursuit.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/03/stimulus-bill-social-engineering-covid-19-financial-compensation-schemes.html,blog,"threat research",/2020/03/stimulus-bill-social-engineering-covid-19-financial-compensation-schemes.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/04/kerberos-tickets-on-linux-red-teams.html,blog,"threat research",/2020/04/kerberos-tickets-on-linux-red-teams.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/04/limited-shifts-in-cyber-threat-landscape-driven-by-covid-19.html,blog,"threat research",/2020/04/limited-shifts-in-cyber-threat-landscape-driven-by-covid-19.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/04/improving-dynamic-malware-analysis-with-cheat-codes-for-fakenet-ng.html,blog,"threat research",/2020/04/improving-dynamic-malware-analysis-with-cheat-codes-for-fakenet-ng.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/04/apt32-targeting-chinese-government-in-covid-19-related-espionage.html,blog,"threat research",/2020/04/apt32-targeting-chinese-government-in-covid-19-related-espionage.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/04/zero-day-exploitation-demonstrates-access-to-money-not-skill.html,blog,"threat research",/2020/04/zero-day-exploitation-demonstrates-access-to-money-not-skill.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/05/tactics-techniques-procedures-associated-with-maze-ransomware-incidents.html,blog,"threat research",/2020/05/tactics-techniques-procedures-associated-with-maze-ransomware-incidents.html
