Title,Current site URL,Has this been migrated?,Stage Site URL,Migration clean up completed?,Who,Date,,Type,Topic,Product/Service,Industry,Taxonomy added?,Vidyard Embed Codes
Compromise Assessment Overview Video,bZdwTua6Avi13LCWVvRC8U,No,,No,,,,Video,"Compromise Assesment, ",Proactive Assesments,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/bZdwTua6Avi13LCWVvRC8U.jpg""
  data-uuid=""bZdwTua6Avi13LCWVvRC8U""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
Expertise On Demand,nD5RsT67mhZfaE5ykJwEhz,No,,No,,,,Video,Expertise on Demand,Expertise on Demand,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/nD5RsT67mhZfaE5ykJwEhz.jpg""
  data-uuid=""nD5RsT67mhZfaE5ykJwEhz""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
Mandiant Defense Hunting for Threats,FqNqyZR3ysS2Qfqn1UpgQt,No,,No,,,,Video,Managed Threat Hunting,Managed Threat Hunting,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/FqNqyZR3ysS2Qfqn1UpgQt.jpg""
  data-uuid=""FqNqyZR3ysS2Qfqn1UpgQt""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
M-Trends 2020,a9QujWhCaN3KZE6JR2WxhW,No,,No,,,,Video,"M-Trends, APT",,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/a9QujWhCaN3KZE6JR2WxhW.jpg""
  data-uuid=""a9QujWhCaN3KZE6JR2WxhW""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
Penetration Testing,Fu7AQbeohV725pbkeQAWMg,No,,No,,,,Video,Proactive Assesments,Proactive Assesments,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/Fu7AQbeohV725pbkeQAWMg.jpg""
  data-uuid=""Fu7AQbeohV725pbkeQAWMg""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
Purple Team Assessment Overview,UvgPB37PSbKTnK1QTPTZMo,No,,No,,,,Video,Proactive Assesments,Proactive Assesments,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/UvgPB37PSbKTnK1QTPTZMo.jpg""
  data-uuid=""UvgPB37PSbKTnK1QTPTZMo""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
Security Predictions 2021 ,MiVTcYbph5a3vLNqCiNE4J,No,,No,,,,Video,"Threats, Ransomware",,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/MiVTcYbph5a3vLNqCiNE4J.jpg""
  data-uuid=""MiVTcYbph5a3vLNqCiNE4J""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
UNC2452 - What we know so far,fcTCVUCbXWCoHDQ9nY9HuM,No,,No,,,,Video,"UNC2452, SolarWinds",,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/fcTCVUCbXWCoHDQ9nY9HuM.jpg""
  data-uuid=""fcTCVUCbXWCoHDQ9nY9HuM""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
CDS 2019 | Keynote | Sandra Joyce,chyho8mJi2hkhd8jtgzFdg,No,,No,,,,Video,"CDS, Threat Intelligence",,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/chyho8mJi2hkhd8jtgzFdg.jpg""
  data-uuid=""chyho8mJi2hkhd8jtgzFdg""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
Executive Intelligence Briefing (11 May),rp8YUGoNfbZaDxWKYVZSg8,No,,No,,,,Video,Intelligence Briefings,,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/rp8YUGoNfbZaDxWKYVZSg8.jpg""
  data-uuid=""rp8YUGoNfbZaDxWKYVZSg8""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
Executive Intelligence Briefing (Apr. 13),uMmZtwWQDfp3dLSBgk7FW9,No,,No,,,,Video,Intelligence Briefings,,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/uMmZtwWQDfp3dLSBgk7FW9.jpg""
  data-uuid=""uMmZtwWQDfp3dLSBgk7FW9""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
Executive Intelligence Briefing (Apr. 27),xhxKUPbdTFicnUB1zDaziV,No,,No,,,,Video,Intelligence Briefings,,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/xhxKUPbdTFicnUB1zDaziV.jpg""
  data-uuid=""xhxKUPbdTFicnUB1zDaziV""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
"Executive Intelligence Briefing (Apr. 6, 2021)",21t2y7nV7fyuFnRhnUQHpu,No,,No,,,,Video,Intelligence Briefings,,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/21t2y7nV7fyuFnRhnUQHpu.jpg""
  data-uuid=""21t2y7nV7fyuFnRhnUQHpu""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
Executive Intelligence Briefing (April 20),HyJsPeZoofxwU3QceDC1Hx,No,,No,,,,Video,Intelligence Briefings,,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/HyJsPeZoofxwU3QceDC1Hx.jpg""
  data-uuid=""HyJsPeZoofxwU3QceDC1Hx""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
"Executive Intelligence Briefing (Feb. 23, 2021)",aXGSDjeJa2AJHxwXkJWetw,No,,No,,,,Video,Intelligence Briefings,,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/aXGSDjeJa2AJHxwXkJWetw.jpg""
  data-uuid=""aXGSDjeJa2AJHxwXkJWetw""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
"Executive Intelligence Briefing (Feb. 9, 2021)",i7WSkNebEweT2w3aCM3ZSA,No,,No,,,,Video,Intelligence Briefings,,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/i7WSkNebEweT2w3aCM3ZSA.jpg""
  data-uuid=""i7WSkNebEweT2w3aCM3ZSA""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
"Executive Intelligence Briefing (February 16, 2021)",k9LW6WAuepwma7gb8vDeGf,No,,No,,,,Video,Intelligence Briefings,,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/k9LW6WAuepwma7gb8vDeGf.jpg""
  data-uuid=""k9LW6WAuepwma7gb8vDeGf""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
Executive Intelligence Briefing (February 2),PWA1cq5CLZqq4JmABe4vR2,No,,No,,,,Video,Intelligence Briefings,,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/PWA1cq5CLZqq4JmABe4vR2.jpg""
  data-uuid=""PWA1cq5CLZqq4JmABe4vR2""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
"Executive Intelligence Briefing (Jan. 19, 2021)",R4vddsFj2vkHVtXjMGNx64,No,,No,,,,Video,Intelligence Briefings,,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/R4vddsFj2vkHVtXjMGNx64.jpg""
  data-uuid=""R4vddsFj2vkHVtXjMGNx64""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
Executive Intelligence Briefing (Jan. 26),GkDhUfFw9jgiCbcugLhUUf,No,,No,,,,Video,Intelligence Briefings,,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/GkDhUfFw9jgiCbcugLhUUf.jpg""
  data-uuid=""GkDhUfFw9jgiCbcugLhUUf""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
"Executive Intelligence Briefing (January 12, 2021)",MsBuGhR86ksvEZEE4S5VZi,No,,No,,,,Video,Intelligence Briefings,,General,No,"<!-- The script tag should live in the head of your page if at all possible -->
<script type=""text/javascript"" async src=""https://play.vidyard.com/embed/v4.js""></script>

<!-- Put this wherever you would like your player to appear -->
<img
  style=""width: 100%; margin: auto; display: block; max-width: 360px;""
  class=""vidyard-player-embed""
  src=""https://play.vidyard.com/MsBuGhR86ksvEZEE4S5VZi.jpg""
  data-uuid=""MsBuGhR86ksvEZEE4S5VZi""
  data-v=""4""
  data-type=""lightbox""
  data-width=""360""
/>"
