Title,Description,DATE,URL REDIRECT,Presented By,BrightTalk URL,Has this been migrated?,Stage Site URL,Migration clean up completed?,Who,Date,asdfa,Type,Topic,Product/Service,Industry,Taxonomy added?,ID
2020 Mandiant Security Effectiveness Report Findings,"Join our webinar to understand why a majority of tested attacks successfully infiltrate enterprise environments without detection – and why security validation is so critical.

The Mandiant Security Effectiveness Report 2020 takes a deep dive look into cybersecurity performance across network, email, endpoint, and cloud-based security controls – and confirms the prevailing concern: security controls are not performing as expected. Alarmingly, thousands of tests performed by experts from the Mandiant Security Validation (previously known as Verodin) team show that for 53% of the environments tested, attacks were successful in bypassing controls without knowledge. This points to the need for continuous validation of security effectiveness based on four fundamental components.

Register for our upcoming webinar to learn about the fundamentals of security validation and gain the knowledge to answer questions such as:

- Do I have confidence in the effectiveness of my security controls?
- Can I quickly assess the relevance of threat intelligence or exposure to the latest attack?
- Am I stopping data leakage and protecting data integrity?
- How can I simplify and standardize my security stack?
- Do I have evidence to support communicating key metrics to executives?",5/19/2020,No,Matt Hartley## SVP Mandiant Strategy for FireEye Mandiant || Devon Goforth ##Sr Dir Security Instrumentation for FireEye Mandiant,https://www.brighttalk.com/webcast/10469/405971?utm_source=brighttalk-portal&utm_medium=web&utm_content=2020%20Mandiant%20Security%20Effectiveness%20Report%20Findings&utm_term=search-result-1&utm_campaign=webcasts-search-results-feed,No,,No,,,,Webinar,"Security Strategy, Security Validation", ,General,No,1
A Global Reset: Cyber Security Predictions 2021,"The year 2020 has been an unprecedented time of change and has shaped up in a way that nobody could have expected. This year’s activities continue to alter the future course of cyber security, making it even more important to ensure that we better prepare ourselves for what’s to come.
Join us as we share cyber trends and challenges that we can expect in 2021. During the webinar, Jamie Collier, EMEA Mandiant Threat Intelligence Consultant, will cover various topics discussed in our latest report, A Global Reset: Predictions for the Future Cyber Security, including:

•The evolution of remote work and the operational impact
•The growing need for intelligence-led security validation
•The future state of cloud security
•Nation-state activity and changing TTPs
•How ransomware has pivoted from business risk to national security risk.",1/21/2021,No,"Jamie Collier##Cyber Threat Intelligence Consultant, FireEye Mandiant",https://www.brighttalk.com/webcast/10703/462545,No,,No,,,,Webinar,"Trends, COVID, Nation State, TTPs",Threat Intelligence,General,No,2
"Closing the Backdoor: Reverse Engineering SUNBURST
","At the end of 2020, FireEye revealed the details of a sophisticated threat actor that took advantage of SolarWinds’ Orion Platform to orchestrate a wide-scale supply chain attack and deploy a backdoor we call SUNBURST.

This attack impacted organizations worldwide, leading executives everywhere to question whether their environment fell victim. Discovering, sharing, and shutting down access to the SUNBURST backdoor, which allowed attackers to move freely and spy on victims, required the unique expertise of Mandiant’s Frontline Applied Research and Expertise (FLARE) team. And for Mandiant Managed Defense, the identification of victims started well before the public became aware of the SUNBURST campaign.

Join Mandiant experts for a retelling of the SUNBURST discovery story and a look inside how they addressed the SUNBURST threat with customers, including stories from the front lines of this customer-focused response. Our experts will also highlight:

• How this prolific cyber-attack changes the way we view security
• SUNBURST threat actor TTPs and how Mandiant hunts for the most relevant, and dangerous threats
• What threat hunting techniques should be deployed to find today’s stealthiest attackers",4/5/2021,no,Mandiant FLARE Experts,https://www.brighttalk.com/webcast/7451/476259,No,,No,,,,Webinar,"MTrends, Ransomware, SUNBURST, UNC", ,General,No,3
Considerations for Evolving to Intelligence-Led Security,"An intelligence-led security posture and program recognizes that cyber threat intelligence has the potential to help keep organizations ahead of adversaries. The challenge is how to effectively and repeatedly make proper use of the intelligence that organizations collect and consume. Ultimately, organizations need to be able to understand the return on their threat intelligence investments.

Mandiant Threat Intelligence experts Gina Hill and Duke McDonald present an in-depth explanation of what it means to be intelligence-led, how organizations should seek to increase intelligence maturity and capability, and how to get started on this journey.

Join this session to learn:
• The definition, characteristics and caveats of an intelligence-led security approach
• Things to consider when assessing and evolving intelligence maturity
• The importance of frameworks when assessing, measuring and executing on your strategy",4/24/2021,No,"Gina Hill## Principle Consultant, Mandiant || Duke McDonald## Consultant, Mandiant
",https://www.brighttalk.com/webcast/7451/482550?utm_source=brighttalk-portal&utm_medium=web&utm_content=Considerations%20for%20Evolving%20to%20Intelligence-Led%20Security&utm_term=search-result-1&utm_campaign=webcasts-search-results-feed,No,,No,,,,Webinar,"Intelligence-Led Security, Security Strategy", ,General,No,4
Fear of Missing Incidents – The Battle for Security Analysts,"The cybersecurity community is no stranger to alert fatigue and security analyst burnout resulting from the large volume of security sensor data. In the recent IDC InfoBrief “The Voice of the Analysts: Improving Security Operations Center Processes Through Adapted Technologies,” 350 internal and managed security service provider security analysts and managers shared their perspectives of the frontline SOC work.

The Reality of the Frontline SOC:
· False positives create alert fatigue for security analysts, impacting SOC effectiveness
· Fear of missing incidents (FOMI) negatively impacts job satisfaction for security analysts and managers
· Security analysts need advanced automation solutions and back up of experienced frontline defenders to reduce alert fatigue and increase effectiveness

Join Chris Triolo, VP of Customer Success, FireEye and Daniel Slack, Director of Mandiant Managed Defense, for a timely discussion on the reality of frontline SOC work. Chris and Daniel will share real-world examples from their experiences in the SOC while analyzing the results from the IDC InfoBrief.",3/25/2020,No,"Chris Triolo## VP of Customer Success, FireEye || Daniel Slack## Director of Mandiant Managed Defense",https://www.brighttalk.com/webcast/7451/469809,No,,No,,,,Webinar,"Alert Fatigue, SOC",Automated Defense,General,No,5
How to Resolve the Cyber Skills Gap,"There is a very prevalent human factor to the success of cyber security; behind the technology lies a team of professionals with a range of technical and specialist skills used to implement defense and proactive hunting strategies. While technology has a big part to play in the war against cyber attacks, it is the human element which is both the catalyst for attack and defense.

There are an estimated 3.5 million unfilled cyber security positions forecasted for 2021 and research suggests it’s only getting worse. Security leaders must spend far too much time finding, hiring and retaining staff. When leaders cannot find appropriately skilled talent, they are often forced to hire junior employees. Less experienced and untested staff can dramatically increase the risk of a cyber breach.

Join this webinar as our executives discuss the cyber security skills crisis in line with the evolving threat landscape and near- and longer-term options to mitigate the risk of a security breach.",1/22/2020,No,"Kevin Taylor ## Senior VP EMEA|| Mike Trevett ## Director, Professional Services, UKI|| Simon Moor## VP, NEUR
",https://www.brighttalk.com/webcast/7451/382827,No,,No,,,,Webinar,"Skills Gap, Cyber Security Careers", ,General,No,6
Light in the Dark: Hunting for SUNBURST,"In December 2020, FireEye revealed the details of a sophisticated threat actor that took advantage of SolarWinds’ Orion Platform to orchestrate a wide-scale supply chain attack and deploy a backdoor we call SUNBURST.

This attack impacted organizations worldwide, leading executives everywhere to question whether their environment fell victim. For Mandiant Managed Defense, the identification of victims started even before the public became aware of the SUNBURST campaign.

Join Matt Bromiley, Principal Consultant, Mandiant Managed Defense and Andrew Rector, Sr. Principal Consultant, Mandiant Managed Defense, for a first-ever look inside how Mandiant addressed the SUNBURST threat with customers, including stories from the front lines of this customer-focused response. Our experts will also highlight:

• How this prolific cyber attack changes the way we view security
• SUNBURST threat actor TTPs and how Mandiant hunts for the most relevant, and dangerous threats
• What threat hunting techniques should be deployed to find today’s stealthiest attackers",2/25/2021,No,"Matt Bromiley ##Principal Consultant, Managed Defense|| Andrew Rector ##Sr. Principal Security Analyst, Managed Defense",https://www.brighttalk.com/webcast/7451/469525,No,,No,,,,Webinar,"Sunburst, Supply Chain, backdoor",Managed Defense,General,No,7
Mandiant Front Lines: The Latest on Exchange Exploits,"Last week, the public learned of multiple vulnerabilities that impacted Microsoft Exchange Server. Since then, many have come to realize that these attacks potentially impacted tens of thousands of organizations—many of whom may be unsure where to begin. Regardless of your organization’s size, industry, or locale, there are steps that you can take to identify if Exchange exploitation in your environment.

In this episode of Mandiant Front Lines, we address the following questions:
- What’s happening with this attack?
- What do we know about the threat actors so far?
- How does this attack impact my organization?
- What can—and should—I do right now?

Join us to discuss these attacks on Microsoft Exchange servers. Our goal in this episode is for you to walk away with concrete next steps to assess your environment.",3/17/2020,No,"Matthew Bromiley## Senior Consultant|| Mandiant Chris DiGiamo## Sr. Tech Director, Mandiant",https://www.brighttalk.com/webcast/7451/475010,No,,No,,,,Webinar,"Microsoft, TTPS, Vulnerabilities", ,General,No,8
Mandiant's Perspective on the Threat Actors in Europe,"This presentation will cover five major threat actors which Mandiant Consulting has seen during intrusions that it responded to in Europe. War stories, as well as unique techniques and malware used by the attackers will be covered by an incident response consultant who has worked on all of the engagements.",9/22/2020,No,"Adrien Bataille## Senior Consultant, Mandiant",https://www.brighttalk.com/webcast/10703/438765,No,,No,,,,Webinar,"TTPs, Threat Actors, Europe", ,General,No,9
Modern Cyber Risk Management for Better Decision Making,"Most C-suite leaders believe their investment decisions in security risk management is not keeping up with the new and heightened levels of cyber risks. This is often due to their use of the decade old, top-down approach in leveraging risk models, which leaves gaps between attacker and defender behaviors.

Transformation of your risk management processes, plus the people behind them, can solve for this.

Aligning your organization’s security efforts with the risk appetite of data owners and business leaders must become a priority.

This webinar spotlights a transformational model that operationalizes security risk management to improve and optimize decision making by:

•Identifying challenges in your current cyber risk management program
•Establishing a modern cyber risk management strategy
•Shifting the players and processes involved in your cybersecurity decision support
•Integrating risk management priorities across the entire security function
•Monitoring progress with the right kind of security metrics

Join Matt Keane, Principal Consultant at FireEye Mandiant, for his expertise on transforming your security risk management approach by bridging the gap between vital security teams and improving their decision making.",4/11/2021,No,Matt Keane## Principal Consultant at FireEye Mandiant|| Jennifer Guzzetta## Product Marketing Manager at FireEye Mandiant,https://www.brighttalk.com/webcast/7451/402285,No,,No,,,,Webinar,"C-Suite, Risk", ,General,No,10
